original_feature,feature_name,coefficient,abs_coefficient,p_value,confint_lb,confint_ub,pseudo_r2,individual_auc,individual_log_loss
num_lab_procedures,num_lab_procedures,0.010596865399345297,0.010596865399345297,0.2215936393530673,-0.006395362369845302,0.027589093168535896,0.000820026279427899,0.5195848846027097,0.6925787816563748
num_procedures,num_procedures,-0.005507354155722417,0.005507354155722417,0.5738834707105509,-0.02470269408525888,0.013687985773814047,4.727771544821291e-05,0.502764921741293,0.693114410144779
num_medications,num_medications,0.05475537881351417,0.05475537881351417,3.584974230808058e-07,0.03367166636340082,0.07583909126362753,0.004040151608053155,0.5419847044533223,0.6903467608637885
number_diagnoses,number_diagnoses,0.047277640925828396,0.047277640925828396,4.330401591756683e-06,0.027112166633486586,0.0674431152181702,0.005192618592529619,0.542541788563056,0.6895479316228103
number_outpatient,number_outpatient,0.00021087469459795164,0.00021087469459795164,0.9782405933422458,-0.014942762335779822,0.015364511724975726,0.0012356468120059416,0.5188437277569716,0.6922906954560355
number_emergency,number_emergency,0.07989593360254219,0.07989593360254219,0.0,0.06528963302240919,0.09450223418267518,0.0068162302540878406,0.5304510625812388,0.6884225297772769
number_inpatient,number_inpatient,0.3408597278071848,0.3408597278071848,0.0,0.3259474691119115,0.3557719865024581,0.03544359011926079,0.6075201328119353,0.6685795559998573
time_in_hospital,time_in_hospital,0.0021570541573185924,0.0021570541573185924,0.8283710964968725,-0.017344653857870138,0.021658762172507326,0.004462098421887939,0.5452368687267768,0.6900542896194327
admission_type_id,admission_type_id_2,0.015739337879069518,0.015739337879069518,0.5945867615589737,-0.042225363634462935,0.07370403939260198,1.5584013762781623e-06,0.5005673449986341,0.6931461003584252
admission_type_id,admission_type_id_3,-0.03906620999296229,0.03906620999296229,0.26205629712631184,-0.10733723954760532,0.029204819561680744,0.00025193484756591555,0.5071675628195186,0.6929725526306701
admission_type_id,admission_type_id_4,0.000100411901195485,0.000100411901195485,0.999894507033483,-1.4884206730799399,1.488621496882331,0.0,0.5,0.6931471805599453
admission_type_id,admission_type_id_5,-0.058270570415844755,0.058270570415844755,0.26655174172042795,-0.16106550570275846,0.04452436487106895,0.00016192124934910623,0.5030924838318834,0.6930349453024862
admission_type_id,admission_type_id_6,0.21175600025573033,0.21175600025573033,4.800633119916853e-06,0.1210095566695874,0.30250244384187325,8.223682381292008e-06,0.5007563119665501,0.6931414803376889
admission_type_id,admission_type_id_7,-8.566219902012104e-05,8.566219902012104e-05,0.9999112887388428,-1.5101789310096652,1.5100076066116248,0.0,0.5,0.6931471805599453
admission_type_id,admission_type_id_8,-1.4883042084698736e-06,1.4883042084698736e-06,0.9999916845448165,-0.27989896911209855,0.2798959925036816,4.099109040411886e-05,0.500400365321641,0.6931187677012036
discharge_disposition_id,discharge_disposition_id_2,0.5445431434601462,0.5445431434601462,0.0,0.4484841487040998,0.6406021382161926,0.0008241077845265732,0.5052859236009786,0.6925759525726232
discharge_disposition_id,discharge_disposition_id_3,0.37194238610085506,0.37194238610085506,0.0,0.323600339020551,0.4202844331811591,0.002929266281877063,0.523013995420616,0.6911167678955529
discharge_disposition_id,discharge_disposition_id_4,0.11499557968776411,0.11499557968776411,0.1553844012436434,-0.04364296284313113,0.27363412221865935,1.9402761665232582e-05,0.5004729579904614,0.6931337315904019
discharge_disposition_id,discharge_disposition_id_5,0.9985819709298237,0.9985819709298237,0.0,0.8763273526925291,1.1208365891671184,0.0016469266019748519,0.5059957403643661,0.6920056180291972
discharge_disposition_id,discharge_disposition_id_6,0.16669159900161346,0.16669159900161346,3.2152058793144533e-12,0.11981083610624807,0.21357236189697884,0.0006141750340407093,0.5099400961940149,0.6927214668667296
discharge_disposition_id,discharge_disposition_id_7,0.20875895472363673,0.20875895472363673,0.022227784196293898,0.02981002323754392,0.3877078862097295,8.082396121555924e-05,0.5008737275915847,0.693091157659107
discharge_disposition_id,discharge_disposition_id_8,0.026515085234096476,0.026515085234096476,0.9049528663031785,-0.4087123256512471,0.46174249611944,0.0,0.5,0.6931471805599453
discharge_disposition_id,discharge_disposition_id_9,0.21081268305296832,0.21081268305296832,0.5294778250109009,-0.4462920923492998,0.8679174584552364,0.00018098968082436162,0.5003737135030573,0.6930217280729715
discharge_disposition_id,discharge_disposition_id_10,3.939851331442956e-05,3.939851331442956e-05,0.9999773335170314,-2.7182081370970224,2.7182869341236513,0.0,0.5,0.6931471805599453
discharge_disposition_id,discharge_disposition_id_11,-3.544378897176841,3.544378897176841,0.0,-3.966621575730053,-3.122136218623629,0.008982112464320124,0.5091286307053942,0.6869212546298294
discharge_disposition_id,discharge_disposition_id_12,0.0005948750299901826,0.0005948750299901826,0.9992798680107529,-1.2912396422932686,1.292429392353249,0.0,0.5,0.6931471805599453
discharge_disposition_id,discharge_disposition_id_13,-0.7343419099011264,0.7343419099011264,8.669443429809576e-08,-1.0032150946749676,-0.4654687251272851,0.0002767206798166555,0.5010713161257284,0.6929553724009277
discharge_disposition_id,discharge_disposition_id_14,-0.5673743764584743,0.5673743764584743,4.212740970643836e-05,-0.8388897670978221,-0.29585898581912656,0.00015947647067882098,0.5007946572628809,0.6930366398939286
discharge_disposition_id,discharge_disposition_id_15,0.7510234158347525,0.7510234158347525,0.0008841991696688645,0.30833229823176816,1.1937145334377368,0.0004422010795921416,0.5008166506792509,0.6928406701283855
discharge_disposition_id,discharge_disposition_id_16,1.6844095109236394e-05,1.6844095109236394e-05,0.9999838569418558,-1.6317390159979326,1.631772704188151,0.0,0.5,0.6931471805599453
