Model,Training Time LB (s),Training Time UB (s),ROC AUC LB,ROC AUC UB,Global PR AUC LB,Global PR AUC UB,Global Precision LB,Global Precision UB,Global Recall LB,Global Recall UB,Global F1 LB,Global F1 UB,Accuracy LB,Accuracy UB,Target Precision LB,Target Precision UB,Target Recall LB,Target Recall UB,Target F1 LB,Target F1 UB,Target PR AUC LB,Target PR AUC UB,Overfitting AUC LB,Overfitting AUC UB,Overfitting Acc LB,Overfitting Acc UB
Logistic Regression,4.986979498453719,5.451986775807756,0.6692553317017076,0.6821165449303748,0.5706206199997825,0.5792554289802876,0.5507265651417538,0.5574656894738342,0.6178601844587681,0.6328879702027561,0.5220961416063966,0.5318039565974851,0.6538362047804193,0.6663031419781756,0.17527909836408315,0.18684927023594686,0.561935837663767,0.5994824844945713,0.26806887335017415,0.28398460982847773,0.2027109856221528,0.2200748417623231,0.005627988259016467,0.021975424609933895,-0.0031362960586766644,0.009204534925653048
Naive Bayes,0.9457636581768274,1.092035509456229,0.5790962049197921,0.5965705291244439,0.5295284104216239,0.5383093955864783,0.5225599074624996,0.5303827630053035,0.5543027623789303,0.5709010418051401,0.47531640204299075,0.4961123905648951,0.6030048292693921,0.6368653596904119,0.13727631866588022,0.15192784764659348,0.4674897272365021,0.5100232297079039,0.21425871414087685,0.2318895901832921,0.14659442836970288,0.16229667321383762,0.009641734022238922,0.020945268889228954,-0.004899140262728785,0.0101338789109635
Linear SVM,2.960067888242328,6.175007490175641,0.6597286126259899,0.677417247471925,0.5666615868786121,0.5766207622347058,0.5490135853135014,0.5550958820687353,0.6148316884622027,0.6279966896399027,0.5138825729945491,0.5307395820083716,0.6367691110875112,0.6703602633494691,0.17129300673974904,0.18429822395175724,0.549886659439167,0.6101533881516056,0.26450712700122925,0.27956778028128293,0.1981187471100096,0.21565497361595254,0.008268338525046678,0.02661703843160864,-0.00370582402237907,0.011839835711139116
Kernel SVM,14.629353581353916,18.44289201648544,0.6551367043336344,0.6747940837196521,0.5624668678087699,0.5724961832792868,0.5481125566424626,0.5549821560736169,0.607622427474279,0.6230709409740032,0.5171729245978932,0.5429149991018593,0.6488931711493149,0.6997815737412914,0.1715829389740793,0.18897094447634652,0.496237749246068,0.5823996146842249,0.26178771524527783,0.27796667112023193,0.19118794826250438,0.20916216802576856,-0.0014824550318430166,0.022914261287843136,-0.005374861639348902,0.009743259969172134
Decision Tree,7.487020284807729,7.870718019330456,0.6400631691803355,0.6555765746523751,0.5628074826895,0.575158076641153,0.5447248646670823,0.550740880596616,0.6069654376487852,0.6201558405520959,0.5060996383677957,0.5166496700723159,0.6236948934843355,0.6497557385079359,0.1657853528969827,0.1753722918759421,0.5585989868274249,0.6090023122580549,0.2562240688775938,0.2717613151565363,0.19331059938134643,0.2153200369097089,-0.003201651678263074,0.016010492351263995,-0.0047286915248420415,0.007509350768365638
Random Forest,12.781252198520155,13.818092627224475,0.646994111991231,0.6586580794624031,0.5578651300587284,0.564590128203405,0.5438552743836961,0.5525181576616122,0.5957457567152793,0.6141647437348536,0.5250921358757613,0.5367304024225205,0.6757581453832636,0.6937947874384408,0.17023573281037738,0.18483166645066282,0.47759507004064583,0.5268517379434118,0.251764287315726,0.2728290245050278,0.18277865930262976,0.19854626514646823,0.08759725893745736,0.0994604429871556,0.02140983274089447,0.03344584950271545
XGBoost,3.0042005127219453,3.122411578342508,0.663338869187941,0.6801345680546299,0.571358547673226,0.5849612962306677,0.5498177832079495,0.5589908280921699,0.6138478294389145,0.6294834887996845,0.5258012475676236,0.5431756606433634,0.6664669952226036,0.6900734894965231,0.17552272004989655,0.19298054964862593,0.5322296338790612,0.5653655513382311,0.2652423581256869,0.2863885505784561,0.20621693192427837,0.23232061034334905,0.08926989873056414,0.10646944404352739,0.018167861250181654,0.03614454429491048
